Unnamed: 0,User_ID,Age,Gender,Location,Income,Interests,Last_Login_Days_Ago,Purchase_Frequency,Average_Order_Value,Total_Spending,Product_Category_Preference,Time_Spent_on_Site_Minutes,Pages_Viewed,Newsletter_Subscription,Activity_Score,Value_Level,Activity_Level,AOV_Level,Age_Group,Login_Frequency_Group,Time_Group,Behavior_Pattern,Purchase_Freq_Group,Cluster,Cluster_Name
19,20,61,Male,Suburban,69666,Technology,15,7,13,4102,Books,201,33,False,0.5027085959592518,高价值,中活跃,低客单,55岁以上,14-21天,2-5小时,其他模式,高频(6-8次),3,高价值活跃用户
20,21,47,Female,Suburban,102368,Travel,1,9,179,3234,Home & Kitchen,115,20,True,0.5667116395807071,中高价值,中活跃,高客单,46-55岁,7天内登录,2小时内,高频短停留,极高频(9-10次),3,高价值活跃用户
21,22,55,Female,Rural,58787,Sports,23,2,118,4186,Apparel,554,13,True,0.4503876074636866,高价值,中活跃,中客单,46-55岁,21-30天,5小时以上,低频长停留,低频(0-2次),2,高客单用户
22,23,19,Female,Rural,133767,Sports,3,2,83,325,Apparel,68,33,False,0.5960975775953119,低价值,高活跃,中客单,18-25岁,7天内登录,2小时内,高频短停留,低频(0-2次),1,低价值用户
23,24,38,Female,Rural,82946,Sports,14,7,198,4300,Health & Beauty,445,5,True,0.4668170306519937,高价值,中活跃,高客单,36-45岁,7-14天,5小时以上,其他模式,高频(6-8次),3,高价值活跃用户
24,25,50,Female,Urban,41727,Sports,6,4,104,2097,Health & Beauty,445,37,True,0.7694020646655991,中等价值,高活跃,中客单,46-55岁,7天内登录,5小时以上,其他模式,中频(3-5次),1,低价值用户
25,26,29,Male,Suburban,128351,Fashion,18,2,114,871,Electronics,326,14,False,0.4089864059146196,低价值,中活跃,中客单,26-35岁,14-21天,5小时以上,低频长停留,低频(0-2次),1,低价值用户
26,27,39,Female,Urban,115081,Fashion,25,9,17,4624,Electronics,359,27,True,0.4117724552258299,高价值,中活跃,低客单,36-45岁,21-30天,5小时以上,低频长停留,极高频(9-10次),0,频次型用户
27,28,61,Male,Urban,142721,Food,1,0,76,533,Electronics,145,23,False,0.6001040282557096,低价值,高活跃,低客单,55岁以上,7天内登录,2-5小时,高频短停留,低频(0-2次),1,低价值用户
28,29,42,Male,Rural,130058,Technology,6,2,119,3199,Health & Beauty,275,14,True,0.5434438349630337,中高价值,中活跃,中客单,36-45岁,7天内登录,2-5小时,高频短停留,低频(0-2次),1,低价值用户
29,30,44,Female,Urban,88056,Travel,6,8,18,2829,Electronics,509,40,True,0.8198228339749924,中等价值,高活跃,低客单,36-45岁,7天内登录,5小时以上,其他模式,高频(6-8次),3,高价值活跃用户
30,31,59,Female,Rural,23081,Travel,21,4,126,3507,Electronics,179,4,False,0.2341392116111887,中高价值,低活跃,中客单,55岁以上,14-21天,2-5小时,其他模式,中频(3-5次),2,高客单用户
31,32,45,Male,Suburban,54196,Fashion,16,9,20,3240,Home & Kitchen,477,39,True,0.6643403404767583,中高价值,高活跃,低客单,36-45岁,14-21天,5小时以上,低频长停留,极高频(9-10次),3,高价值活跃用户
32,33,33,Male,Rural,56735,Travel,29,1,108,965,Electronics,414,19,True,0.33700543990551146,低价值,低活跃,中客单,26-35岁,21-30天,5小时以上,低频长停留,低频(0-2次),1,低价值用户
33,34,32,Male,Urban,124749,Fashion,5,6,51,2893,Apparel,153,47,False,0.6977161482289076,中等价值,高活跃,低客单,26-35岁,7天内登录,2-5小时,高频短停留,高频(6-8次),3,高价值活跃用户
34,35,64,Female,Urban,100102,Food,17,1,150,3011,Health & Beauty,104,4,True,0.24990994060395444,中等价值,低活跃,高客单,55岁以上,14-21天,2小时内,其他模式,低频(0-2次),2,高客单用户
35,36,61,Female,Rural,99578,Technology,10,3,173,2515,Books,75,30,False,0.4879027403949894,中等价值,中活跃,高客单,55岁以上,7-14天,2小时内,其他模式,中频(3-5次),1,低价值用户
36,37,20,Female,Rural,45498,Food,28,6,129,350,Home & Kitchen,128,19,True,0.20710004202014695,低价值,低活跃,中客单,18-25岁,21-30天,2-5小时,其他模式,高频(6-8次),0,频次型用户
37,38,54,Female,Urban,96865,Sports,21,3,150,3857,Health & Beauty,568,31,False,0.594270041906579,中高价值,高活跃,高客单,46-55岁,14-21天,5小时以上,低频长停留,中频(3-5次),2,高客单用户
38,39,24,Female,Suburban,51656,Sports,18,6,21,4756,Health & Beauty,345,31,False,0.5225838983339579,高价值,中活跃,低客单,18-25岁,14-21天,5小时以上,低频长停留,高频(6-8次),2,高客单用户
39,40,38,Male,Suburban,87695,Sports,7,6,46,1018,Apparel,531,9,False,0.6277119462142119,低价值,高活跃,低客单,36-45岁,7天内登录,5小时以上,其他模式,高频(6-8次),1,低价值用户
40,41,26,Female,Rural,57900,Food,3,0,83,1273,Electronics,159,13,False,0.5192245579366972,中低价值,中活跃,中客单,26-35岁,7天内登录,2-5小时,高频短停留,低频(0-2次),1,低价值用户
41,42,56,Male,Suburban,148392,Travel,13,5,82,3303,Apparel,538,14,False,0.5818300341839574,中高价值,高活跃,中客单,55岁以上,7-14天,5小时以上,其他模式,中频(3-5次),3,高价值活跃用户
42,43,35,Male,Urban,137235,Technology,15,8,61,532,Electronics,426,46,True,0.6949882457156485,低价值,高活跃,低客单,26-35岁,14-21天,5小时以上,低频长停留,高频(6-8次),0,频次型用户
43,44,21,Male,Rural,104899,Sports,20,1,139,935,Electronics,23,10,True,0.20607702179369242,低价值,低活跃,高客单,18-25岁,14-21天,2小时内,其他模式,低频(0-2次),1,低价值用户
44,45,42,Female,Urban,67701,Sports,19,2,65,2346,Health & Beauty,47,48,False,0.4640834497404972,中等价值,中活跃,低客单,36-45岁,14-21天,2小时内,其他模式,低频(0-2次),1,低价值用户
45,46,31,Female,Urban,128777,Sports,3,9,69,2362,Electronics,525,31,True,0.8127341487513202,中等价值,高活跃,低客单,26-35岁,7天内登录,5小时以上,其他模式,极高频(9-10次),3,高价值活跃用户
46,47,26,Female,Suburban,39033,Technology,4,4,32,997,Home & Kitchen,144,37,False,0.6453174792454545,低价值,高活跃,低客单,26-35岁,7天内登录,2-5小时,高频短停留,中频(3-5次),1,低价值用户
47,48,43,Male,Rural,143193,Sports,5,8,112,3732,Home & Kitchen,585,23,True,0.7671379737203731,中高价值,高活跃,中客单,36-45岁,7天内登录,5小时以上,其他模式,高频(6-8次),3,高价值活跃用户
48,49,19,Male,Rural,30805,Technology,1,3,49,4667,Home & Kitchen,589,27,True,0.8469644418702372,高价值,高活跃,低客单,18-25岁,7天内登录,5小时以上,其他模式,中频(3-5次),3,高价值活跃用户
49,50,37,Male,Suburban,55851,Sports,4,0,73,3915,Health & Beauty,419,6,False,0.5932511101268554,中高价值,高活跃,低客单,36-45岁,7天内登录,5小时以上,其他模式,低频(0-2次),2,高客单用户
50,51,45,Male,Urban,46832,Food,12,3,94,346,Apparel,85,26,False,0.44175462505536434,低价值,中活跃,中客单,36-45岁,7-14天,2小时内,其他模式,中频(3-5次),1,低价值用户
51,52,64,Male,Urban,83437,Food,28,5,160,2529,Books,416,2,True,0.24725881003486538,中等价值,低活跃,高客单,55岁以上,21-30天,5小时以上,低频长停留,中频(3-5次),0,频次型用户
52,53,24,Male,Urban,135725,Technology,27,4,166,1090,Electronics,482,45,True,0.5569125413103472,中低价值,中活跃,高客单,18-25岁,21-30天,5小时以上,低频长停留,中频(3-5次),0,频次型用户
53,54,61,Female,Urban,33944,Food,24,0,188,3410,Books,456,13,False,0.387972471125345,中高价值,低活跃,高客单,55岁以上,21-30天,5小时以上,低频长停留,低频(0-2次),2,高客单用户
54,55,25,Female,Rural,39873,Technology,10,3,98,1026,Apparel,297,19,True,0.5317411104675592,低价值,中活跃,中客单,18-25岁,7-14天,2-5小时,其他模式,中频(3-5次),1,低价值用户
55,56,64,Female,Rural,60372,Food,23,5,40,3538,Apparel,112,1,True,0.15554927146150613,中高价值,低活跃,低客单,55岁以上,21-30天,2小时内,其他模式,中频(3-5次),2,高客单用户
56,57,52,Female,Suburban,109464,Food,25,9,187,2707,Health & Beauty,230,40,False,0.4267566124947475,中等价值,中活跃,高客单,46-55岁,21-30天,2-5小时,其他模式,极高频(9-10次),0,频次型用户
57,58,31,Male,Suburban,35379,Technology,21,9,29,1174,Home & Kitchen,96,32,True,0.36399850090286534,中低价值,低活跃,低客单,26-35岁,14-21天,2小时内,其他模式,极高频(9-10次),0,频次型用户
58,59,34,Male,Rural,137322,Travel,29,3,192,4122,Home & Kitchen,378,22,False,0.3373427367608145,高价值,低活跃,高客单,26-35岁,21-30天,5小时以上,低频长停留,中频(3-5次),2,高客单用户
59,60,53,Female,Rural,56751,Food,26,8,139,3899,Apparel,156,48,False,0.4253411013821221,中高价值,中活跃,高客单,46-55岁,21-30天,2-5小时,其他模式,高频(6-8次),0,频次型用户
60,61,57,Male,Urban,120082,Sports,20,4,162,4884,Health & Beauty,421,29,False,0.5217357727732161,高价值,中活跃,高客单,55岁以上,14-21天,5小时以上,低频长停留,中频(3-5次),2,高客单用户
61,62,21,Female,Urban,109822,Travel,24,7,22,3251,Health & Beauty,105,2,True,0.14483254403597837,中高价值,低活跃,低客单,18-25岁,21-30天,2小时内,其他模式,高频(6-8次),0,频次型用户
62,63,19,Female,Suburban,25110,Technology,25,8,131,3538,Electronics,330,40,True,0.4768400849488376,中高价值,中活跃,中客单,18-25岁,21-30天,5小时以上,低频长停留,高频(6-8次),0,频次型用户
63,64,23,Female,Rural,74341,Travel,13,9,112,4673,Home & Kitchen,439,38,False,0.6791861719646122,高价值,高活跃,中客单,18-25岁,7-14天,5小时以上,其他模式,极高频(9-10次),3,高价值活跃用户
64,65,59,Male,Suburban,32087,Fashion,23,4,115,3591,Apparel,132,48,False,0.4533210679931405,中高价值,中活跃,中客单,55岁以上,21-30天,2-5小时,其他模式,中频(3-5次),2,高客单用户
65,66,21,Female,Rural,43762,Fashion,14,5,128,806,Books,382,11,True,0.47199913688346795,低价值,中活跃,中客单,18-25岁,7-14天,5小时以上,其他模式,中频(3-5次),1,低价值用户
66,67,46,Female,Urban,135812,Food,23,0,79,3164,Home & Kitchen,138,17,True,0.2665301579730389,中高价值,低活跃,中客单,46-55岁,21-30天,2-5小时,其他模式,低频(0-2次),2,高客单用户
67,68,35,Female,Suburban,102617,Food,5,6,195,853,Electronics,270,43,True,0.7318240150818258,低价值,高活跃,高客单,26-35岁,7天内登录,2-5小时,高频短停留,高频(6-8次),1,低价值用户
68,69,43,Male,Suburban,120483,Sports,4,3,108,687,Health & Beauty,550,8,False,0.6711053570008972,低价值,高活跃,中客单,36-45岁,7天内登录,5小时以上,其他模式,中频(3-5次),1,低价值用户
69,70,61,Male,Rural,29596,Travel,14,1,91,1434,Apparel,396,22,False,0.5463577618025508,中低价值,中活跃,中客单,55岁以上,7-14天,5小时以上,其他模式,低频(0-2次),1,低价值用户
70,71,51,Female,Urban,123555,Fashion,10,4,84,1947,Home & Kitchen,557,4,True,0.570121404154316,中低价值,高活跃,中客单,46-55岁,7-14天,5小时以上,其他模式,中频(3-5次),1,低价值用户
71,72,27,Male,Suburban,127539,Food,17,2,127,4034,Books,464,11,True,0.47306758429582185,中高价值,中活跃,中客单,26-35岁,14-21天,5小时以上,低频长停留,低频(0-2次),2,高客单用户
72,73,53,Male,Urban,38313,Travel,10,5,93,4026,Electronics,450,8,True,0.541021884546807,中高价值,中活跃,中客单,46-55岁,7-14天,5小时以上,其他模式,中频(3-5次),3,高价值活跃用户
73,74,31,Male,Suburban,133175,Food,26,7,78,3417,Electronics,331,9,False,0.2742116679726983,中高价值,低活跃,中客单,26-35岁,21-30天,5小时以上,低频长停留,高频(6-8次),0,频次型用户
74,75,48,Male,Urban,86549,Food,7,6,68,4120,Home & Kitchen,253,26,False,0.5925615254449025,高价值,高活跃,低客单,46-55岁,7天内登录,2-5小时,高频短停留,高频(6-8次),3,高价值活跃用户
75,76,32,Male,Rural,134914,Fashion,16,2,197,3255,Books,285,2,True,0.3416494611200072,中高价值,低活跃,高客单,26-35岁,14-21天,2-5小时,其他模式,低频(0-2次),2,高客单用户
76,77,25,Male,Suburban,43705,Fashion,1,7,135,4402,Electronics,274,16,True,0.6218545648643431,高价值,高活跃,高客单,18-25岁,7天内登录,2-5小时,高频短停留,高频(6-8次),3,高价值活跃用户
77,78,31,Male,Suburban,87364,Food,17,1,120,2298,Apparel,20,31,False,0.3731459461914983,中等价值,低活跃,中客单,26-35岁,14-21天,2小时内,其他模式,低频(0-2次),1,低价值用户
78,79,40,Male,Urban,93445,Technology,21,9,71,264,Electronics,239,6,False,0.27643419304282646,低价值,低活跃,低客单,36-45岁,14-21天,2-5小时,其他模式,极高频(9-10次),0,频次型用户
79,80,57,Male,Urban,123892,Food,29,8,153,2098,Books,270,21,True,0.2771301375308053,中等价值,低活跃,高客单,55岁以上,21-30天,2-5小时,其他模式,高频(6-8次),0,频次型用户
80,81,38,Male,Suburban,98645,Food,9,3,137,3157,Health & Beauty,418,26,True,0.6485325883274845,中高价值,高活跃,高客单,36-45岁,7-14天,5小时以上,其他模式,中频(3-5次),3,高价值活跃用户
81,82,33,Female,Rural,22023,Sports,6,0,114,2184,Health & Beauty,310,19,True,0.5915852952199244,中等价值,高活跃,中客单,26-35岁,7天内登录,5小时以上,其他模式,低频(0-2次),1,低价值用户
82,83,62,Female,Urban,139654,Sports,19,7,77,4528,Home & Kitchen,31,28,False,0.333621114556006,高价值,低活跃,中客单,55岁以上,14-21天,2小时内,其他模式,高频(6-8次),2,高客单用户
83,84,35,Male,Urban,79796,Sports,13,6,24,502,Books,104,8,True,0.3277330698556551,低价值,低活跃,低客单,26-35岁,7-14天,2小时内,其他模式,高频(6-8次),1,低价值用户
84,85,64,Female,Urban,100073,Technology,3,4,192,513,Electronics,186,14,False,0.5388695444788935,低价值,中活跃,高客单,55岁以上,7天内登录,2-5小时,高频短停留,中频(3-5次),1,低价值用户
85,86,41,Female,Suburban,112197,Technology,7,9,44,144,Electronics,128,24,False,0.5177122869181061,低价值,中活跃,低客单,36-45岁,7天内登录,2-5小时,高频短停留,极高频(9-10次),3,高价值活跃用户
86,87,43,Male,Suburban,84429,Food,22,4,192,4257,Health & Beauty,210,48,True,0.5057195098406642,高价值,中活跃,高客单,36-45岁,21-30天,2-5小时,其他模式,中频(3-5次),2,高客单用户
87,88,42,Male,Suburban,124195,Sports,9,6,23,2567,Health & Beauty,414,44,True,0.756733331061974,中等价值,高活跃,低客单,36-45岁,7-14天,5小时以上,其他模式,高频(6-8次),3,高价值活跃用户
88,89,62,Male,Suburban,81627,Technology,22,4,186,967,Apparel,281,37,False,0.4739318365075579,低价值,中活跃,高客单,55岁以上,21-30天,2-5小时,其他模式,中频(3-5次),0,频次型用户
89,90,58,Female,Rural,53848,Fashion,5,7,111,118,Health & Beauty,253,26,True,0.6192281921115692,低价值,高活跃,中客单,55岁以上,7天内登录,2-5小时,高频短停留,高频(6-8次),1,低价值用户
90,91,46,Female,Rural,57804,Food,10,5,109,464,Apparel,19,31,False,0.4659784448002907,低价值,中活跃,中客单,46-55岁,7-14天,2小时内,其他模式,中频(3-5次),1,低价值用户
91,92,32,Male,Suburban,35379,Travel,23,4,16,3932,Electronics,136,32,True,0.3573652232178347,中高价值,低活跃,低客单,26-35岁,21-30天,2-5小时,其他模式,中频(3-5次),2,高客单用户
92,93,62,Male,Rural,79664,Food,17,8,39,679,Apparel,223,41,True,0.5360398850692196,低价值,中活跃,低客单,55岁以上,14-21天,2-5小时,其他模式,高频(6-8次),0,频次型用户
93,94,18,Male,Urban,47766,Travel,12,1,58,645,Apparel,3,2,True,0.2537474021328064,低价值,低活跃,低客单,18-25岁,7-14天,2小时内,其他模式,低频(0-2次),1,低价值用户
94,95,42,Female,Urban,129126,Sports,23,0,153,4250,Home & Kitchen,236,25,True,0.364591552814782,高价值,低活跃,高客单,36-45岁,21-30天,2-5小时,其他模式,低频(0-2次),2,高客单用户
95,96,24,Female,Urban,88099,Travel,16,7,120,4973,Health & Beauty,465,44,False,0.6889425686802266,高价值,高活跃,中客单,18-25岁,14-21天,5小时以上,低频长停留,高频(6-8次),3,高价值活跃用户
96,97,26,Female,Suburban,56060,Sports,3,2,188,3139,Apparel,228,2,False,0.4864352151545092,中高价值,中活跃,高客单,26-35岁,7天内登录,2-5小时,高频短停留,低频(0-2次),1,低价值用户
97,98,41,Female,Urban,114733,Fashion,25,6,81,4237,Electronics,499,42,False,0.5737260513554336,高价值,高活跃,中客单,36-45岁,21-30天,5小时以上,低频长停留,高频(6-8次),2,高客单用户
98,99,18,Male,Rural,89122,Travel,22,9,89,4144,Books,521,1,True,0.3737240071320682,高价值,低活跃,中客单,18-25岁,21-30天,5小时以上,低频长停留,极高频(9-10次),0,频次型用户
99,100,61,Male,Suburban,36087,Food,9,7,92,4426,Apparel,139,36,False,0.5700241899764914,高价值,高活跃,中客单,55岁以上,7-14天,2-5小时,其他模式,高频(6-8次),3,高价值活跃用户
100,101,25,Male,Rural,68868,Sports,29,5,51,552,Health & Beauty,276,12,False,0.22503310506172416,低价值,低活跃,低客单,18-25岁,21-30天,2-5小时,其他模式,中频(3-5次),0,频次型用户
101,102,41,Male,Urban,139119,Food,15,9,26,4061,Home & Kitchen,291,9,False,0.4008449456577289,中高价值,低活跃,低客单,36-45岁,14-21天,2-5小时,其他模式,极高频(9-10次),3,高价值活跃用户
102,103,28,Female,Urban,43225,Technology,5,8,182,1481,Electronics,53,36,True,0.5802857369993073,中低价值,高活跃,高客单,26-35岁,7天内登录,2小时内,高频短停留,高频(6-8次),3,高价值活跃用户
103,104,34,Female,Urban,115286,Sports,23,6,16,1567,Home & Kitchen,110,41,False,0.3994455611960978,中低价值,低活跃,低客单,26-35岁,21-30天,2小时内,其他模式,高频(6-8次),0,频次型用户
104,105,25,Male,Suburban,26643,Travel,13,9,164,2838,Books,4,28,True,0.4000985769934017,中等价值,低活跃,高客单,18-25岁,7-14天,2小时内,其他模式,极高频(9-10次),3,高价值活跃用户
105,106,52,Male,Rural,113059,Sports,14,4,19,1316,Apparel,47,38,True,0.46952562661124553,中低价值,中活跃,低客单,46-55岁,7-14天,2小时内,其他模式,中频(3-5次),1,低价值用户
106,107,52,Female,Suburban,56727,Food,20,7,43,980,Apparel,94,33,False,0.3824526137667087,低价值,低活跃,低客单,46-55岁,14-21天,2小时内,其他模式,高频(6-8次),0,频次型用户
107,108,50,Male,Suburban,31005,Fashion,15,1,45,3914,Health & Beauty,560,42,True,0.7376103028857619,中高价值,高活跃,低客单,46-55岁,14-21天,5小时以上,低频长停留,低频(0-2次),2,高客单用户
108,109,22,Female,Urban,129079,Sports,16,6,162,3249,Apparel,213,46,False,0.5749771160551032,中高价值,高活跃,高客单,18-25岁,14-21天,2-5小时,其他模式,高频(6-8次),3,高价值活跃用户
109,110,59,Male,Suburban,85697,Travel,23,3,15,184,Electronics,436,22,False,0.4463911507841868,低价值,中活跃,低客单,55岁以上,21-30天,5小时以上,低频长停留,中频(3-5次),1,低价值用户
110,111,56,Male,Suburban,36029,Technology,13,8,161,4244,Books,508,25,False,0.6341519312232407,高价值,高活跃,高客单,55岁以上,7-14天,5小时以上,其他模式,高频(6-8次),3,高价值活跃用户
111,112,58,Male,Urban,135281,Fashion,17,0,155,1268,Home & Kitchen,205,18,False,0.38620853349687123,中低价值,低活跃,高客单,55岁以上,14-21天,2-5小时,其他模式,低频(0-2次),1,低价值用户
112,113,45,Male,Suburban,34226,Technology,23,6,143,4264,Books,381,6,False,0.3208860572609678,高价值,低活跃,高客单,36-45岁,21-30天,5小时以上,低频长停留,高频(6-8次),2,高客单用户
113,114,24,Male,Urban,83646,Sports,8,5,38,3229,Apparel,73,18,True,0.4400983498574722,中高价值,中活跃,低客单,18-25岁,7-14天,2小时内,其他模式,中频(3-5次),3,高价值活跃用户
114,115,26,Male,Urban,80603,Food,21,7,135,3745,Home & Kitchen,516,16,False,0.47638990153657457,中高价值,中活跃,高客单,26-35岁,14-21天,5小时以上,低频长停留,高频(6-8次),0,频次型用户
115,116,25,Male,Urban,48731,Food,2,4,162,2626,Health & Beauty,76,15,True,0.5032335070923194,中等价值,中活跃,高客单,18-25岁,7天内登录,2小时内,高频短停留,中频(3-5次),3,高价值活跃用户
116,117,29,Female,Urban,129458,Travel,5,0,192,2967,Books,77,48,False,0.6657751581433909,中等价值,高活跃,高客单,26-35岁,7天内登录,2小时内,高频短停留,低频(0-2次),1,低价值用户
117,118,51,Female,Suburban,130384,Food,6,0,90,3616,Home & Kitchen,410,8,False,0.5743218288985045,中高价值,高活跃,中客单,46-55岁,7天内登录,5小时以上,其他模式,低频(0-2次),2,高客单用户
118,119,50,Female,Urban,88926,Fashion,12,8,183,3467,Home & Kitchen,106,13,False,0.3726803175360294,中高价值,低活跃,高客单,46-55岁,7-14天,2小时内,其他模式,高频(6-8次),3,高价值活跃用户
119,120,40,Female,Urban,25997,Food,18,9,161,2294,Home & Kitchen,551,43,True,0.6992252393444858,中等价值,高活跃,高客单,36-45岁,14-21天,5小时以上,低频长停留,极高频(9-10次),0,频次型用户
120,121,41,Female,Suburban,75506,Travel,22,5,84,3655,Electronics,476,7,True,0.38792113840527864,中高价值,低活跃,中客单,36-45岁,21-30天,5小时以上,低频长停留,中频(3-5次),2,高客单用户
121,122,54,Male,Suburban,98229,Sports,22,9,35,545,Books,275,17,True,0.34847784856847586,低价值,低活跃,低客单,46-55岁,21-30天,2-5小时,其他模式,极高频(9-10次),0,频次型用户
122,123,52,Male,Rural,69815,Sports,1,4,136,3726,Home & Kitchen,88,32,True,0.6266584897732048,中高价值,高活跃,高客单,46-55岁,7天内登录,2小时内,高频短停留,中频(3-5次),3,高价值活跃用户
123,124,61,Female,Suburban,62092,Food,17,0,124,4116,Books,77,22,False,0.34659148467400314,高价值,低活跃,中客单,55岁以上,14-21天,2小时内,其他模式,低频(0-2次),2,高客单用户
124,125,57,Male,Suburban,82539,Technology,11,5,135,3975,Home & Kitchen,77,13,False,0.3714894438576767,中高价值,低活跃,高客单,55岁以上,7-14天,2小时内,其他模式,中频(3-5次),3,高价值活跃用户
125,126,39,Female,Rural,86077,Sports,10,5,37,3437,Health & Beauty,442,47,True,0.7757907169545615,中高价值,高活跃,低客单,36-45岁,7-14天,5小时以上,其他模式,中频(3-5次),3,高价值活跃用户
126,127,44,Female,Suburban,41817,Food,19,2,140,361,Health & Beauty,540,23,True,0.5579337444493657,低价值,中活跃,高客单,36-45岁,14-21天,5小时以上,低频长停留,低频(0-2次),1,低价值用户
127,128,52,Male,Suburban,57861,Travel,14,7,84,1948,Health & Beauty,245,29,True,0.5135888612540175,中低价值,中活跃,中客单,46-55岁,7-14天,2-5小时,其他模式,高频(6-8次),0,频次型用户
128,129,18,Male,Suburban,33428,Food,26,0,175,4125,Apparel,578,22,False,0.4775096816689948,高价值,中活跃,高客单,18-25岁,21-30天,5小时以上,低频长停留,低频(0-2次),2,高客单用户
129,130,52,Male,Suburban,63934,Sports,10,0,198,2366,Home & Kitchen,382,1,True,0.4641079804208829,中等价值,中活跃,高客单,46-55岁,7-14天,5小时以上,其他模式,低频(0-2次),1,低价值用户
130,131,54,Female,Rural,135555,Travel,15,5,87,191,Apparel,570,29,True,0.6630268133964771,低价值,高活跃,中客单,46-55岁,14-21天,5小时以上,低频长停留,中频(3-5次),1,低价值用户
131,132,64,Male,Suburban,134367,Food,28,9,188,4322,Books,142,48,False,0.3916627485718828,高价值,低活跃,高客单,55岁以上,21-30天,2-5小时,其他模式,极高频(9-10次),0,频次型用户
